maxdepth,num_Runs,avgstep
16,500,17.608
16,750,16.066
16,1000,15.314
16,2000,13.958
16,4000,13.254000000000001
16,5000,13.126
16,6000,13.233
16,10000,12.97
16,20000,12.545
18,500,16.563
18,750,15.644
18,1000,14.786
18,2000,13.596999999999998
18,4000,13.153
18,5000,13.18
18,6000,12.878
18,10000,12.949000000000002
18,20000,12.693000000000001
20,500,15.525
20,750,14.822
20,1000,14.419999999999998
20,2000,13.627
20,4000,12.783999999999999
20,5000,12.945
20,6000,12.935
20,10000,12.754000000000001
20,20000,12.595
22,500,15.428999999999998
22,750,14.506
22,1000,14.079
22,2000,13.454
22,4000,13.096999999999998
22,5000,12.927000000000001
22,6000,12.768999999999998
22,10000,12.893
22,20000,12.755
24,500,15.097
24,750,14.241
24,1000,13.794
24,2000,13.287
24,4000,13.04
24,5000,12.945
24,6000,12.873
24,10000,12.703999999999999
24,20000,12.661000000000001
