maxdepth,num_Runs,avgstep
4,750,99.58500000000001
4,2000,56.967
4,4000,46.66499999999999
4,6000,35.372
5,750,71.676
5,2000,60.19500000000001
5,4000,44.71
5,6000,36.203
7,750,39.661
7,2000,30.787
7,4000,27.220000000000002
7,6000,25.158
10,750,21.69
10,2000,18.151
10,4000,15.424000000000001
10,6000,14.969999999999999
14,750,15.109
14,2000,13.691
14,4000,13.539
14,6000,12.458
19,750,13.573
19,2000,12.822000000000001
19,4000,12.065
19,6000,11.835
25,750,12.864
25,2000,12.098
25,4000,11.542000000000002
25,6000,11.678
