maxdepth,num_Runs,avgstep
4,500,119.67800000000001
4,1000,91.408
4,5000,42.825
4,10000,32.077
4,20000,23.427
5,500,84.564
5,1000,75.66199999999999
5,5000,42.849999999999994
5,10000,32.120999999999995
5,20000,24.846999999999998
7,500,44.429
7,1000,36.163000000000004
7,5000,27.089
7,10000,24.412
7,20000,23.326999999999998
10,500,25.296000000000003
10,1000,22.243
10,5000,15.675
10,10000,14.235
10,20000,13.401999999999997
14,500,17.438000000000002
14,1000,14.982999999999999
14,5000,12.856000000000002
14,10000,12.072
14,20000,11.879000000000001
19,500,14.582
19,1000,13.564
19,5000,12.133
19,10000,12.049
19,20000,12.124
25,500,13.630999999999998
25,1000,12.688000000000002
25,5000,12.408999999999999
25,10000,12.516
25,20000,12.327000000000002
