maxdepth,num_Runs,avgstep
4,500,59.216
4,1000,35.944
4,5000,6.896
4,10000,6.024
4,20000,6.224
5,500,46.768
5,1000,17.928
5,5000,7.248
5,10000,7.576
5,20000,6.616
7,500,8.08
7,1000,6.968
7,5000,7.088
7,10000,7.248
7,20000,7.144
10,500,7.704
10,1000,7.216
10,5000,7.456
10,10000,7.528
10,20000,7.808
14,500,8.272
14,1000,7.976
14,5000,8.256
14,10000,8.616
14,20000,8.392
19,500,8.368
19,1000,8.416
19,5000,8.184
19,10000,8.112
19,20000,8.4
25,500,8.376
25,1000,8.336
25,5000,8.376
25,10000,8.344
25,20000,8.92
