maxdepth,num_Runs,avgstep
16,500,8.08
16,750,8.008
16,1000,8.008
16,2000,7.784
16,4000,7.88
16,5000,7.6
16,6000,8.232
16,10000,8.192
16,20000,7.904
18,500,8.32
18,750,8.136
18,1000,8.216
18,2000,8.584
18,4000,8.136
18,5000,7.8
18,6000,8.28
18,10000,7.952
18,20000,8.04
20,500,7.984
20,750,7.712
20,1000,8.44
20,2000,8.352
20,4000,7.76
20,5000,8.152
20,6000,7.712
20,10000,8.296
20,20000,8.208
22,500,8.032
22,750,7.712
22,1000,7.888
22,2000,8.312
22,4000,7.872
22,5000,8.04
22,6000,7.912
22,10000,8.704
22,20000,8.368
24,500,8.064
24,750,8.192
24,1000,8.0
24,2000,8.088
24,4000,8.056
24,5000,8.008
24,6000,8.456
24,10000,8.024
24,20000,8.496
