maxdepth,num_Runs,avgstep
4,10,191.43
4,20,175.579
4,30,224.219
4,40,122.154
4,50,154.487
4,60,154.825
4,70,135.201
4,80,154.386
4,90,142.175
4,100,136.305
6,10,200.606
6,20,115.875
6,30,103.419
6,40,92.0
6,50,110.24
6,60,106.448
6,70,103.702
6,80,98.596
6,90,101.933
6,100,140.145
8,10,145.679
8,20,94.611
8,30,107.739
8,40,58.536
8,50,76.267
8,60,56.463
8,70,55.609
8,80,44.337
8,90,61.949
8,100,74.483
10,10,126.618
10,20,81.027
10,30,92.573
10,40,43.74
10,50,52.261
10,60,54.909
10,70,38.32
10,80,49.904
10,90,55.802
10,100,36.369
12,10,105.929
12,20,65.086
12,30,65.476
12,40,56.705
12,50,50.001
12,60,40.291
12,70,35.549
12,80,35.865
12,90,37.644
12,100,39.62
14,10,121.173
14,20,75.559
14,30,45.901
14,40,29.355
14,50,27.066
14,60,37.355
14,70,35.833
14,80,18.922
14,90,30.196
14,100,37.591
16,10,72.72
16,20,58.123
16,30,53.964
16,40,35.889
16,50,20.92
16,60,34.725
16,70,20.865
16,80,26.462
16,90,19.205
16,100,14.641
18,10,96.34
18,20,45.759
18,30,48.642
18,40,39.1
18,50,35.219
18,60,31.073
18,70,22.599
18,80,22.765
18,90,30.779
18,100,23.807
20,10,72.116
20,20,57.648
20,30,37.426
20,40,28.201
20,50,35.252
20,60,23.163
20,70,26.959
20,80,17.186
20,90,24.147
20,100,15.505
22,10,75.042
22,20,36.133
22,30,27.71
22,40,21.608
22,50,17.162
22,60,25.62
22,70,18.176
22,80,22.51
22,90,19.632
22,100,22.139
24,10,38.858
24,20,47.079
24,30,26.028
24,40,35.34
24,50,32.101
24,60,17.585
24,70,22.031
24,80,14.725
24,90,21.78
24,100,15.812
26,10,57.876
26,20,33.379
26,30,26.074
26,40,22.706
26,50,16.118
26,60,19.187
26,70,23.56
26,80,14.632
26,90,16.873
26,100,14.321
28,10,50.747
28,20,44.345
28,30,24.876
28,40,19.093
28,50,26.052
28,60,14.955
28,70,15.624
28,80,15.802
28,90,17.52
28,100,14.785
