maxdepth,num_Runs,avgstep
4,50,146.0
4,55,176.11
4,60,168.88
4,65,144.1
4,70,121.61
4,75,132.58
4,80,155.25
4,85,129.26
4,90,113.3
4,95,129.29
6,50,84.25
6,55,87.21
6,60,112.78
6,65,82.93
6,70,88.62
6,75,104.12
6,80,77.87
6,85,92.14
6,90,82.65
6,95,91.19
8,50,91.32
8,55,54.01
8,60,77.64
8,65,65.45
8,70,75.26
8,75,64.73
8,80,58.68
8,85,78.3
8,90,54.09
8,95,64.13
10,50,55.21
10,55,57.44
10,60,55.4
10,65,45.09
10,70,57.24
10,75,42.48
10,80,50.14
10,85,45.49
10,90,42.13
10,95,55.09
12,50,52.25
12,55,38.93
12,60,36.81
12,65,38.63
12,70,40.87
12,75,39.65
12,80,39.62
12,85,36.95
12,90,41.28
12,95,33.94
14,50,44.06
14,55,47.6
14,60,31.92
14,65,38.12
14,70,39.33
14,75,36.27
14,80,29.06
14,85,36.35
14,90,26.46
14,95,32.17
16,50,34.05
16,55,27.69
16,60,30.95
16,65,30.61
16,70,23.27
16,75,30.72
16,80,30.0
16,85,31.11
16,90,22.35
16,95,31.66
18,50,39.68
18,55,26.49
18,60,31.59
18,65,28.76
18,70,29.36
18,75,31.09
18,80,28.49
18,85,27.17
18,90,27.25
18,95,29.78
20,50,21.02
20,55,27.71
20,60,25.02
20,65,24.6
20,70,22.84
20,75,26.56
20,80,22.67
20,85,28.96
20,90,23.32
20,95,22.14
22,50,25.31
22,55,31.71
22,60,23.4
22,65,24.7
22,70,22.28
22,75,21.49
22,80,20.18
22,85,21.85
22,90,23.62
22,95,20.98
24,50,29.47
24,55,22.04
24,60,26.33
24,65,24.05
24,70,24.64
24,75,25.35
24,80,20.75
24,85,18.95
24,90,19.63
24,95,21.57
26,50,30.96
26,55,24.89
26,60,23.8
26,65,23.4
26,70,20.97
26,75,20.63
26,80,19.73
26,85,20.18
26,90,20.31
26,95,18.32
28,50,23.92
28,55,22.45
28,60,24.38
28,65,17.41
28,70,18.37
28,75,22.67
28,80,21.66
28,85,20.45
28,90,18.89
28,95,17.12
