maxdepth,num_Runs,avgstep
4,50,151.12
4,55,144.01
4,60,130.34
4,65,127.32
4,70,133.01
4,75,184.56
4,80,108.04
4,85,172.2
4,90,125.99
4,95,126.79
6,50,105.09
6,55,97.95
6,60,96.13
6,65,97.44
6,70,109.19
6,75,95.22
6,80,94.31
6,85,108.54
6,90,84.72
6,95,62.78
8,50,85.35
8,55,70.78
8,60,58.86
8,65,83.12
8,70,79.44
8,75,52.41
8,80,53.35
8,85,60.49
8,90,77.67
8,95,56.79
10,50,63.6
10,55,48.97
10,60,47.84
10,65,51.57
10,70,49.19
10,75,62.99
10,80,42.32
10,85,54.35
10,90,49.39
10,95,42.56
12,50,47.84
12,55,32.7
12,60,35.76
12,65,40.23
12,70,39.38
12,75,38.98
12,80,38.67
12,85,38.04
12,90,29.67
12,95,30.92
14,50,48.23
14,55,38.38
14,60,35.46
14,65,30.77
14,70,37.56
14,75,34.92
14,80,29.41
14,85,32.18
14,90,27.3
14,95,28.63
16,50,44.46
16,55,33.56
16,60,34.32
16,65,31.31
16,70,34.81
16,75,29.66
16,80,26.63
16,85,27.2
16,90,25.84
16,95,27.66
18,50,30.13
18,55,33.19
18,60,26.18
18,65,24.34
18,70,24.05
18,75,30.54
18,80,21.12
18,85,22.06
18,90,22.18
18,95,24.08
20,50,32.13
20,55,21.82
20,60,26.86
20,65,25.05
20,70,23.34
20,75,28.01
20,80,22.18
20,85,18.13
20,90,20.02
20,95,18.94
22,50,27.2
22,55,25.57
22,60,25.5
22,65,22.58
22,70,25.59
22,75,19.86
22,80,23.48
22,85,19.75
22,90,18.41
22,95,19.71
24,50,23.18
24,55,23.66
24,60,24.91
24,65,21.66
24,70,20.05
24,75,19.54
24,80,19.85
24,85,22.81
24,90,16.79
24,95,20.01
26,50,22.05
26,55,22.47
26,60,19.42
26,65,20.75
26,70,20.39
26,75,20.4
26,80,21.82
26,85,21.77
26,90,17.8
26,95,17.1
28,50,20.01
28,55,23.97
28,60,22.36
28,65,21.69
28,70,19.13
28,75,15.96
28,80,17.85
28,85,20.67
28,90,17.04
28,95,18.81
