maxdepth,num_Runs,avgstep
4,500,119.67800000000001
4,750,99.58500000000001
4,1000,91.408
4,2000,56.967
4,4000,46.66499999999999
4,5000,42.825
4,6000,35.372
4,10000,32.077
4,20000,23.427
5,500,84.564
5,750,71.676
5,1000,75.66199999999999
5,2000,60.19500000000001
5,4000,44.71
5,5000,42.849999999999994
5,6000,36.203
5,10000,32.120999999999995
5,20000,24.846999999999998
7,500,44.429
7,750,39.661
7,1000,36.163000000000004
7,2000,30.787
7,4000,27.220000000000002
7,5000,27.089
7,6000,25.158
7,10000,24.412
7,20000,23.326999999999998
10,500,25.296000000000003
10,750,21.69
10,1000,22.243
10,2000,18.151
10,4000,15.424000000000001
10,5000,15.675
10,6000,14.969999999999999
10,10000,14.235
10,20000,13.401999999999997
14,500,17.438000000000002
14,750,15.109
14,1000,14.982999999999999
14,2000,13.691
14,4000,13.539
14,5000,12.856000000000002
14,6000,12.458
14,10000,12.072
14,20000,11.879000000000001
16,500,17.608
16,750,16.066
16,1000,15.314
16,2000,13.958
16,4000,13.254000000000001
16,5000,13.126
16,6000,13.233
16,10000,12.97
16,20000,12.545
18,500,16.563
18,750,15.644
18,1000,14.786
18,2000,13.596999999999998
18,4000,13.153
18,5000,13.18
18,6000,12.878
18,10000,12.949000000000002
18,20000,12.693000000000001
19,500,14.582
19,750,13.573
19,1000,13.564
19,2000,12.822000000000001
19,4000,12.065
19,5000,12.133
19,6000,11.835
19,10000,12.049
19,20000,12.124
20,500,15.525
20,750,14.822
20,1000,14.419999999999998
20,2000,13.627
20,4000,12.783999999999999
20,5000,12.945
20,6000,12.935
20,10000,12.754000000000001
20,20000,12.595
22,500,15.428999999999998
22,750,14.506
22,1000,14.079
22,2000,13.454
22,4000,13.096999999999998
22,5000,12.927000000000001
22,6000,12.768999999999998
22,10000,12.893
22,20000,12.755
24,500,15.097
24,750,14.241
24,1000,13.794
24,2000,13.287
24,4000,13.04
24,5000,12.945
24,6000,12.873
24,10000,12.703999999999999
24,20000,12.661000000000001
25,500,13.630999999999998
25,750,12.864
25,1000,12.688000000000002
25,2000,12.098
25,4000,11.542000000000002
25,5000,12.408999999999999
25,6000,11.678
25,10000,12.516
25,20000,12.327000000000002
